AH-6-40-7 AIRFOIL
1.00000  0.00350
0.89988  0.02705
0.79979  0.04660
0.69972  0.06215
0.59967  0.07370
0.49963  0.08125
0.39962  0.08480
0.29962  0.08435
0.19965  0.07790
0.14968  0.07067
0.09974  0.05845
0.07477  0.05034
0.04982  0.04022
0.02488  0.02711
0.01242  0.01806
0.00000  0.00000
0.01253 -0.00694
0.02504 -0.00789
0.05003 -0.00677
0.07502 -0.00516
0.10001 -0.00255
0.14999  0.00317
0.19996  0.00940
0.29991  0.01935
0.39988  0.02580
0.49987  0.02825
0.59987  0.02870
0.69989  0.02515
0.79992  0.01860
0.89996  0.00905
1.00000 -0.00350
