DAE-31 AIRFOIL
1.00000  0.00000
0.98367  0.00367
0.96483  0.00820
0.94229  0.01391
0.91513  0.02116
0.88474  0.02971
0.85440  0.03860
0.82394  0.04779
0.79331  0.05709
0.76337  0.06601
0.73400  0.07431
0.70496  0.08190
0.67600  0.08877
0.64701  0.09494
0.61793  0.10040
0.58870  0.10516
0.55931  0.10923
0.52976  0.11264
0.50007  0.11539
0.47029  0.11750
0.44050  0.11898
0.41076  0.11979
0.38109  0.11991
0.35154  0.11934
0.32216  0.11804
0.29300  0.11599
0.26410  0.11316
0.23556  0.10952
0.20747  0.10505
0.17998  0.09969
0.15324  0.09342
0.12751  0.08623
0.10309  0.07809
0.08035  0.06905
0.05972  0.05921
0.04168  0.04873
0.02670  0.03795
0.01515  0.02749
0.00725  0.01811
0.00257  0.01025
0.00035  0.00406
0.00000  0.00000
0.00018 -0.00325
0.00117 -0.00713
0.00296 -0.01006
0.00569 -0.01233
0.00999 -0.01405
0.01725 -0.01529
0.02973 -0.01598
0.04902 -0.01563
0.07428 -0.01418
0.10296 -0.01194
0.13331 -0.00922
0.16451 -0.00629
0.19617 -0.00330
0.22811 -0.00033
0.26016  0.00256
0.29212  0.00532
0.32398  0.00793
0.35578  0.01037
0.38749  0.01263
0.41913  0.01467
0.45071  0.01648
0.48220  0.01803
0.51363  0.01930
0.54501  0.02025
0.57636  0.02089
0.60768  0.02124
0.63896  0.02126
0.67022  0.02097
0.70146  0.02038
0.73268  0.01949
0.76385  0.01831
0.79497  0.01683
0.82606  0.01503
0.85722  0.01293
0.88881  0.01051
0.91928  0.00792
0.94560  0.00550
0.96707  0.00341
0.98488  0.00158
1.00000  0.00000
