Davis AIRFOIL
1.00000  0.00000
0.90000  0.02500
0.80000  0.04600
0.70000  0.06250
0.60000  0.07700
0.50000  0.08600
0.40000  0.09150
0.30000  0.09000
0.25000  0.08750
0.20000  0.08250
0.15000  0.07400
0.10000  0.06000
0.07500  0.05100
0.05000  0.04050
0.02500  0.02680
0.01250  0.01750
0.00000  0.00000
0.01250 -0.01050
0.02500 -0.01470
0.05000 -0.02050
0.07500 -0.02400
0.10000 -0.02600
0.15000 -0.02700
0.20000 -0.02650
0.25000 -0.02450
0.30000 -0.02250
0.40000 -0.01765
0.50000 -0.01300
0.60000 -0.01000
0.70000 -0.00750
0.80000 -0.00450
0.90000 -0.00200
1.00000  0.00000
