HSNLF(1)-0213 AIRFOIL
1.00000  0.00067
0.98997  0.00152
0.97996  0.00241
0.97495  0.00289
0.94991  0.00558
0.92487  0.00854
0.91986  0.00919
0.89983  0.01192
0.87477  0.01566
0.84972  0.01991
0.82465  0.02451
0.81964  0.02546
0.79958  0.02939
0.77953  0.03355
0.77451  0.03460
0.74944  0.03995
0.72436  0.04552
0.69928  0.05104
0.67923  0.05531
0.67421  0.05634
0.64914  0.06120
0.62408  0.06549
0.59903  0.06910
0.57399  0.07205
0.54896  0.07440
0.52394  0.07624
0.49892  0.07762
0.47390  0.07861
0.44890  0.07924
0.42389  0.07955
0.39889  0.07954
0.37390  0.07922
0.34891  0.07860
0.32392  0.07766
0.29894  0.07639
0.27396  0.07478
0.24899  0.07282
0.22402  0.07048
0.19906  0.06774
0.17410  0.06456
0.14915  0.06085
0.12421  0.05655
0.09928  0.05153
0.08931  0.04927
0.07935  0.04683
0.05943  0.04131
0.04947  0.03812
0.03952  0.03455
0.02958  0.03047
0.01965  0.02551
0.00974  0.01880
0.00481  0.01358
0.00237  0.00967
0.00188  0.00865
0.00140  0.00749
0.00092  0.00610
0.00068  0.00527
0.00044  0.00429
0.00021  0.00302
0.00000  0.00000
0.00027 -0.00160
0.00053 -0.00229
0.00079 -0.00285
0.00105 -0.00333
0.00156 -0.00417
0.00207 -0.00489
0.00258 -0.00553
0.00511 -0.00789
0.01015 -0.01106
0.02021 -0.01523
0.03026 -0.01838
0.04029 -0.02099
0.05032 -0.02321
0.06035 -0.02518
0.08040 -0.02865
0.09042 -0.03021
0.10044 -0.03168
0.12548 -0.03499
0.15052 -0.03788
0.17556 -0.04039
0.20059 -0.04257
0.22562 -0.04450
0.25064 -0.04623
0.27566 -0.04775
0.30068 -0.04909
0.32570 -0.05025
0.35071 -0.05123
0.37572 -0.05201
0.40073 -0.05260
0.42573 -0.05301
0.45073 -0.05321
0.47573 -0.05320
0.50073 -0.05303
0.52573 -0.05272
0.55072 -0.05215
0.57571 -0.05133
0.60069 -0.05022
0.62567 -0.04879
0.65065 -0.04690
0.67561 -0.04446
0.68060 -0.04390
0.70057 -0.04120
0.72550 -0.03627
0.75042 -0.03064
0.77535 -0.02598
0.78034 -0.02515
0.80030 -0.02201
0.82026 -0.01910
0.82525 -0.01841
0.85020 -0.01514
0.87516 -0.01217
0.90012 -0.00938
0.92009 -0.00724
0.92508 -0.00673
0.95005 -0.00432
0.97502 -0.00229
0.98002 -0.00193
0.99001 -0.00128
1.00000 -0.00067
