NACA-M1 AIRFOIL
1.00000  0.00200
0.95000  0.00570
0.90000  0.00910
0.80000  0.01540
0.70000  0.02080
0.60000  0.02530
0.50000  0.02850
0.40000  0.03050
0.30000  0.03080
0.20000  0.02880
0.15000  0.02670
0.10000  0.02340
0.07500  0.02100
0.05000  0.01800
0.02500  0.01360
0.01250  0.01030
0.00000  0.00000
0.01250 -0.01030
0.02500 -0.01360
0.05000 -0.01800
0.07500 -0.02100
0.10000 -0.02340
0.15000 -0.02670
0.20000 -0.02880
0.30000 -0.03080
0.40000 -0.03050
0.50000 -0.02850
0.60000 -0.02530
0.70000 -0.02080
0.80000 -0.01540
0.90000 -0.00910
0.95000 -0.00570
1.00000 -0.00200
