NASA NLF(1)-0115
      32.0      30.0

 0.0000000 0.0001200
 0.0027000 0.0094000
 0.0095400 0.0195700
 0.0204800 0.0299200
 0.0356000 0.0399300
 0.0549400 0.0492800
 0.0785500 0.0577300
 0.1064400 0.0652200
 0.1384200 0.0718000
 0.1742000 0.0775100
 0.2133500 0.0823900
 0.2553600 0.0864300
 0.2996900 0.0895700
 0.3457800 0.0917000
 0.3930700 0.0926900
 0.4410300 0.0923800
 0.4890800 0.0904600
 0.5371100 0.0865000
 0.5854000 0.0806000
 0.6337800 0.0735000
 0.6816100 0.0657500
 0.7282000 0.0576900
 0.7728700 0.0496100
 0.8149400 0.0417000
 0.8537600 0.0341100
 0.8886700 0.0268500
 0.9193300 0.0197500
 0.9457900 0.0129300
 0.9679200 0.0070400
 0.9850700 0.0028200
 0.9961400 0.0006000
 1.0000000 0.0000000

 0.0000000 0.0001200
 0.0025200 -.0071500
 0.0112600 -.0130200
 0.0260000 -.0185900
 0.0463400 -.0238400
 0.0719200 -.0288900
 0.1023000 -.0337600
 0.1369800 -.0384100
 0.1754700 -.0427900
 0.2172300 -.0468100
 0.2617100 -.0503600
 0.3083500 -.0533300
 0.3565700 -.0555800
 0.4057800 -.0569800
 0.4553900 -.0573300
 0.5048200 -.0564200
 0.5534500 -.0537300
 0.6015500 -.0484400
 0.6501300 -.0410100
 0.6991100 -.0329700
 0.7473800 -.0253200
 0.7938800 -.0185000
 0.8376100 -.0127800
 0.8776200 -.0082800
 0.9130500 -.0049700
 0.9431300 -.0027400
 0.9672200 -.0013300
 0.9849800 -.0004200
 0.9961300 -.0000400
 1.0000000 0.0000000
