 NLR-7301 AIRFOIL
1.00000  0.00055
0.99000  0.00258
0.97500  0.00577
0.95000  0.01129
0.92500  0.01696
0.90000  0.02269
0.85000  0.03415
0.80000  0.04523
0.75000  0.05551
0.70000  0.06458
0.65000  0.07212
0.60000  0.07789
0.55000  0.08206
0.50000  0.08495
0.45000  0.08678
0.40000  0.08764
0.35000  0.08755
0.30000  0.08649
0.25000  0.08441
0.20000  0.08115
0.15000  0.07648
0.12500  0.07347
0.10000  0.06985
0.08000  0.06636
0.06500  0.06321
0.05000  0.05920
0.03500  0.05372
0.02500  0.04873
0.02000  0.04514
0.01600  0.04140
0.01250  0.03729
0.01000  0.03375
0.00800  0.03043
0.00650  0.02756
0.00500  0.02424
0.00350  0.02030
0.00200  0.01518
0.00100  0.01051
0.00050  0.00730
0.00000  0.00000
0.00050 -0.00748
0.00100 -0.01020
0.00200 -0.01373
0.00350 -0.01735
0.00500 -0.02016
0.00650 -0.02252
0.00800 -0.02455
0.01000 -0.02688
0.01250 -0.02935
0.01600 -0.03225
0.02000 -0.03502
0.02500 -0.03794
0.03500 -0.04264
0.05000 -0.04806
0.06500 -0.05229
0.08000 -0.05576
0.10000 -0.05962
0.12500 -0.06358
0.15000 -0.06689
0.20000 -0.07194
0.25000 -0.07527
0.30000 -0.07713
0.35000 -0.07763
0.40000 -0.07672
0.45000 -0.07412
0.50000 -0.06934
0.55000 -0.06237
0.60000 -0.05386
0.65000 -0.04397
0.70000 -0.03316
0.75000 -0.02227
0.80000 -0.01221
0.85000 -0.00409
0.90000  0.00108
0.92500  0.00228
0.95000  0.00246
0.97500  0.00153
0.99000  0.00042
1.00000 -0.00055
