OAF128 AIRFOIL
1.00000  0.00484
0.99901  0.00487
0.99606  0.00497
0.99114  0.00516
0.98429  0.00545
0.97553  0.00588
0.96489  0.00649
0.95241  0.00730
0.93815  0.00836
0.92216  0.00966
0.90451  0.01125
0.88526  0.01311
0.86448  0.01524
0.84227  0.01764
0.81871  0.02027
0.79389  0.02311
0.76791  0.02614
0.74088  0.02932
0.71289  0.03262
0.68406  0.03602
0.65451  0.03948
0.62435  0.04298
0.59369  0.04650
0.56267  0.04998
0.53139  0.05341
0.50000  0.05673
0.46860  0.05989
0.43733  0.06284
0.40631  0.06551
0.37566  0.06783
0.34549  0.06972
0.31594  0.07112
0.28711  0.07197
0.25912  0.07226
0.23209  0.07186
0.20611  0.07087
0.18129  0.06944
0.15773  0.06740
0.13552  0.06467
0.11474  0.06133
0.09549  0.05750
0.07784  0.05330
0.06185  0.04877
0.04759  0.04386
0.03511  0.03850
0.02447  0.03266
0.01571  0.02636
0.00886  0.01974
0.00394  0.01301
0.00099  0.00637
0.00000  0.00000
0.00099 -0.00737
0.00394 -0.01364
0.00886 -0.01907
0.01571 -0.02402
0.02447 -0.02874
0.03511 -0.03335
0.04759 -0.03778
0.06185 -0.04187
0.07784 -0.04545
0.09549 -0.04847
0.11474 -0.05099
0.13552 -0.05310
0.15773 -0.05468
0.18129 -0.05552
0.20611 -0.05586
0.23209 -0.05600
0.25912 -0.05543
0.28711 -0.05432
0.31594 -0.05273
0.34549 -0.05073
0.37566 -0.04839
0.40631 -0.04579
0.43733 -0.04300
0.46860 -0.04011
0.50000 -0.03716
0.53139 -0.03421
0.56267 -0.03130
0.59369 -0.02845
0.62435 -0.02569
0.65451 -0.02304
0.68406 -0.02050
0.71289 -0.01809
0.74088 -0.01582
0.76791 -0.01372
0.79389 -0.01179
0.81871 -0.01007
0.84227 -0.00856
0.86448 -0.00730
0.88526 -0.00629
0.90451 -0.00553
0.92216 -0.00502
0.93815 -0.00474
0.95241 -0.00465
0.96489 -0.00473
0.97553 -0.00491
0.98429 -0.00515
0.99114 -0.00540
0.99606 -0.00562
0.99901 -0.00576
1.00000 -0.00581
