RAF-48 AIRFOIL
1.00000  0.00000
0.95000  0.01005
0.90000  0.01950
0.80000  0.04020
0.70000  0.06050
0.60000  0.07940
0.50000  0.09380
0.40000  0.10200
0.30000  0.10400
0.20000  0.09530
0.15000  0.08630
0.10000  0.07300
0.07500  0.06390
0.05000  0.05200
0.02500  0.03650
0.01250  0.02600
0.00000  0.00000
0.01250 -0.01650
0.02500 -0.02340
0.05000 -0.03160
0.07500 -0.03690
0.10000 -0.04030
0.15000 -0.04410
0.20000 -0.04580
0.30000 -0.04560
0.40000 -0.04330
0.50000 -0.03900
0.60000 -0.03360
0.70000 -0.02650
0.80000 -0.01830
0.90000 -0.01000
0.95000 -0.00640
1.00000  0.00000
