S1223 RTL
1.00000  0.00000
0.99358  0.00517
0.98424  0.01272
0.97345  0.01996
0.96062  0.02672
0.94517  0.03343
0.92664  0.04043
0.90488  0.04774
0.88017  0.05525
0.85315  0.06278
0.82459  0.07017
0.79513  0.07729
0.76524  0.08403
0.73520  0.09033
0.70515  0.09613
0.67507  0.10141
0.64489  0.10617
0.61447  0.11043
0.58366  0.11424
0.55230  0.11767
0.52031  0.12081
0.48770  0.12375
0.45460  0.12657
0.42134  0.12929
0.38832  0.13190
0.35606  0.13430
0.32506  0.13634
0.29587  0.13785
0.26882  0.13861
0.24382  0.13842
0.22049  0.13717
0.19852  0.13482
0.17766  0.13135
0.15777  0.12677
0.13877  0.12109
0.12066  0.11436
0.10348  0.10665
0.08735  0.09811
0.07246  0.08897
0.05906  0.07960
0.04738  0.07040
0.03747  0.06170
0.02926  0.05366
0.02255  0.04628
0.01710  0.03951
0.01270  0.03328
0.00915  0.02754
0.00631  0.02224
0.00408  0.01732
0.00236  0.01273
0.00113  0.00843
0.00034  0.00440
0.00014 -0.00301
0.00104 -0.00653
0.00309 -0.00959
0.00627 -0.01179
0.01020 -0.01321
0.01471 -0.01413
0.01984 -0.01474
0.02573 -0.01513
0.03260 -0.01534
0.04078 -0.01536
0.05074 -0.01516
0.06316 -0.01465
0.07889 -0.01373
0.09868 -0.01226
0.12242 -0.01013
0.14904 -0.00720
0.17761 -0.00342
0.20791  0.00114
0.23971  0.00625
0.27250  0.01167
0.30575  0.01721
0.33893  0.02270
0.37173  0.02803
0.40404  0.03309
0.43585  0.03780
0.46716  0.04209
0.49803  0.04590
0.52849  0.04918
0.55862  0.05190
0.58844  0.05401
0.61803  0.05550
0.64740  0.05634
0.67662  0.05652
0.70569  0.05602
0.73464  0.05484
0.76344  0.05298
0.79205  0.05043
0.82034  0.04722
0.84808  0.04337
0.87484  0.03895
0.90001  0.03406
0.92292  0.02886
0.94306  0.02346
0.96035  0.01795
0.97500  0.01237
0.98734  0.00680
1.00000  0.00000
