SARATOV AIRFOIL
1.00000  0.00000
0.90000  0.02850
0.80000  0.05500
0.70000  0.07750
0.60000  0.09700
0.50000  0.11350
0.40000  0.12500
0.30000  0.11750
0.20000  0.09700
0.15000  0.08275
0.10000  0.06750
0.05000  0.04625
0.02500  0.03063
0.01250  0.02031
0.00000  0.00000
0.01250 -0.01469
0.02500 -0.01938
0.05000 -0.02175
0.10000 -0.02050
0.15000 -0.00925
0.20000  0.00500
0.30000  0.03550
0.40000  0.07000
0.50000  0.06250
0.60000  0.05000
0.70000  0.03750
0.80000  0.02500
0.90000  0.01250
1.00000  0.00000
