SOKOLOV AIRFOIL
1.00000  0.00700
0.95000  0.01855
0.90000  0.03010
0.80000  0.04920
0.70000  0.06630
0.60000  0.08040
0.50000  0.09050
0.40000  0.09560
0.30000  0.09220
0.25000  0.08825
0.20000  0.08180
0.15000  0.07085
0.10000  0.05840
0.07500  0.04968
0.05000  0.03895
0.02500  0.02523
0.01250  0.01611
0.00000  0.00000
0.01250 -0.00789
0.02500 -0.00877
0.05000 -0.00705
0.07500 -0.00533
0.10000 -0.00110
0.15000  0.00535
0.20000  0.01130
0.25000  0.01725
0.30000  0.02270
0.40000  0.03260
0.50000  0.03850
0.60000  0.03840
0.70000  0.03430
0.80000  0.02520
0.90000  0.01410
0.95000  0.00705
1.00000  0.00000
