USA-35B AIRFOIL
1.00000 -0.02510
0.95000 -0.01260
0.90000 -0.00040
0.80000  0.02260
0.70000  0.04320
0.60000  0.06050
0.50000  0.07570
0.40000  0.08660
0.30000  0.09000
0.20000  0.08520
0.15000  0.07800
0.10000  0.06690
0.07500  0.05890
0.05000  0.04760
0.02500  0.03350
0.01250  0.02390
0.00000  0.00000
0.01250 -0.01730
0.02500 -0.02130
0.05000 -0.02480
0.07500 -0.02620
0.10000 -0.02690
0.15000 -0.02760
0.20000 -0.02700
0.30000 -0.02610
0.40000 -0.02500
0.50000 -0.02370
0.60000 -0.02310
0.70000 -0.02340
0.80000 -0.02410
0.90000 -0.02560
0.95000 -0.02640
1.00000 -0.02760
